img_path,mask_path,img_w,img_h,n_boxes
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01273.jpg,D:\Claude\datasets\ppe_masks\01273_mask.png,183,275,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01274.jpg,D:\Claude\datasets\ppe_masks\01274_mask.png,309,163,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01275.jpg,D:\Claude\datasets\ppe_masks\01275_mask.png,183,276,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01276.jpg,D:\Claude\datasets\ppe_masks\01276_mask.png,262,192,9
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01277.jpg,D:\Claude\datasets\ppe_masks\01277_mask.png,275,183,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01278.jpg,D:\Claude\datasets\ppe_masks\01278_mask.png,300,168,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01279.jpg,D:\Claude\datasets\ppe_masks\01279_mask.png,231,219,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01280.jpg,D:\Claude\datasets\ppe_masks\01280_mask.png,263,192,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01281.jpg,D:\Claude\datasets\ppe_masks\01281_mask.png,263,192,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01282.jpg,D:\Claude\datasets\ppe_masks\01282_mask.png,267,189,8
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01283.jpg,D:\Claude\datasets\ppe_masks\01283_mask.png,275,183,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01284.jpg,D:\Claude\datasets\ppe_masks\01284_mask.png,210,240,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01285.jpg,D:\Claude\datasets\ppe_masks\01285_mask.png,177,285,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01286.jpg,D:\Claude\datasets\ppe_masks\01286_mask.png,275,183,8
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01287.jpg,D:\Claude\datasets\ppe_masks\01287_mask.png,262,192,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01288.jpg,D:\Claude\datasets\ppe_masks\01288_mask.png,183,276,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01289.jpg,D:\Claude\datasets\ppe_masks\01289_mask.png,190,266,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01290.jpg,D:\Claude\datasets\ppe_masks\01290_mask.png,262,192,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01291.jpg,D:\Claude\datasets\ppe_masks\01291_mask.png,262,192,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01292.jpg,D:\Claude\datasets\ppe_masks\01292_mask.png,177,285,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01293.jpg,D:\Claude\datasets\ppe_masks\01293_mask.png,261,193,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01294.jpg,D:\Claude\datasets\ppe_masks\01294_mask.png,261,193,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01295.jpg,D:\Claude\datasets\ppe_masks\01295_mask.png,262,192,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01296.jpg,D:\Claude\datasets\ppe_masks\01296_mask.png,275,183,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01297.jpg,D:\Claude\datasets\ppe_masks\01297_mask.png,275,183,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01298.jpg,D:\Claude\datasets\ppe_masks\01298_mask.png,262,192,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01299.jpg,D:\Claude\datasets\ppe_masks\01299_mask.png,300,168,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01300.jpg,D:\Claude\datasets\ppe_masks\01300_mask.png,252,200,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01301.jpg,D:\Claude\datasets\ppe_masks\01301_mask.png,231,219,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01302.jpg,D:\Claude\datasets\ppe_masks\01302_mask.png,194,259,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01303.jpg,D:\Claude\datasets\ppe_masks\01303_mask.png,300,168,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01304.jpg,D:\Claude\datasets\ppe_masks\01304_mask.png,266,189,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01305.jpg,D:\Claude\datasets\ppe_masks\01305_mask.png,262,192,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01306.jpg,D:\Claude\datasets\ppe_masks\01306_mask.png,179,282,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01307.jpg,D:\Claude\datasets\ppe_masks\01307_mask.png,300,168,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01308.jpg,D:\Claude\datasets\ppe_masks\01308_mask.png,266,189,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01309.jpg,D:\Claude\datasets\ppe_masks\01309_mask.png,180,280,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01310.jpg,D:\Claude\datasets\ppe_masks\01310_mask.png,266,189,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01311.jpg,D:\Claude\datasets\ppe_masks\01311_mask.png,262,192,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01312.jpg,D:\Claude\datasets\ppe_masks\01312_mask.png,183,276,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01313.jpg,D:\Claude\datasets\ppe_masks\01313_mask.png,263,192,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01314.jpg,D:\Claude\datasets\ppe_masks\01314_mask.png,266,190,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01315.jpg,D:\Claude\datasets\ppe_masks\01315_mask.png,299,168,10
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01316.jpg,D:\Claude\datasets\ppe_masks\01316_mask.png,262,193,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01317.jpg,D:\Claude\datasets\ppe_masks\01317_mask.png,262,193,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01318.jpg,D:\Claude\datasets\ppe_masks\01318_mask.png,275,183,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01319.jpg,D:\Claude\datasets\ppe_masks\01319_mask.png,255,198,14
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01320.jpg,D:\Claude\datasets\ppe_masks\01320_mask.png,275,183,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01321.jpg,D:\Claude\datasets\ppe_masks\01321_mask.png,300,168,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01322.jpg,D:\Claude\datasets\ppe_masks\01322_mask.png,266,189,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01323.jpg,D:\Claude\datasets\ppe_masks\01323_mask.png,184,275,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01324.jpg,D:\Claude\datasets\ppe_masks\01324_mask.png,260,194,16
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01325.jpg,D:\Claude\datasets\ppe_masks\01325_mask.png,275,183,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01326.jpg,D:\Claude\datasets\ppe_masks\01326_mask.png,179,282,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01327.jpg,D:\Claude\datasets\ppe_masks\01327_mask.png,275,183,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01328.jpg,D:\Claude\datasets\ppe_masks\01328_mask.png,262,193,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01329.jpg,D:\Claude\datasets\ppe_masks\01329_mask.png,275,183,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01330.jpg,D:\Claude\datasets\ppe_masks\01330_mask.png,263,192,11
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01331.jpg,D:\Claude\datasets\ppe_masks\01331_mask.png,259,195,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01332.jpg,D:\Claude\datasets\ppe_masks\01332_mask.png,299,168,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01333.jpg,D:\Claude\datasets\ppe_masks\01333_mask.png,179,281,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01334.jpg,D:\Claude\datasets\ppe_masks\01334_mask.png,267,189,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01335.jpg,D:\Claude\datasets\ppe_masks\01335_mask.png,183,275,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01336.jpg,D:\Claude\datasets\ppe_masks\01336_mask.png,275,183,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01337.jpg,D:\Claude\datasets\ppe_masks\01337_mask.png,300,168,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01338.jpg,D:\Claude\datasets\ppe_masks\01338_mask.png,275,183,8
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01339.jpg,D:\Claude\datasets\ppe_masks\01339_mask.png,177,285,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01340.jpg,D:\Claude\datasets\ppe_masks\01340_mask.png,300,168,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01341.jpg,D:\Claude\datasets\ppe_masks\01341_mask.png,180,281,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01342.jpg,D:\Claude\datasets\ppe_masks\01342_mask.png,182,276,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01343.jpg,D:\Claude\datasets\ppe_masks\01343_mask.png,280,180,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01344.jpg,D:\Claude\datasets\ppe_masks\01344_mask.png,275,183,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01345.jpg,D:\Claude\datasets\ppe_masks\01345_mask.png,232,217,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01346.jpg,D:\Claude\datasets\ppe_masks\01346_mask.png,262,192,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01347.jpg,D:\Claude\datasets\ppe_masks\01347_mask.png,275,183,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01348.jpg,D:\Claude\datasets\ppe_masks\01348_mask.png,299,168,7
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01349.jpg,D:\Claude\datasets\ppe_masks\01349_mask.png,214,236,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01350.jpg,D:\Claude\datasets\ppe_masks\01350_mask.png,300,168,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01351.jpg,D:\Claude\datasets\ppe_masks\01351_mask.png,266,189,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01352.jpg,D:\Claude\datasets\ppe_masks\01352_mask.png,239,211,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01353.jpg,D:\Claude\datasets\ppe_masks\01353_mask.png,219,230,9
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01354.jpg,D:\Claude\datasets\ppe_masks\01354_mask.png,300,168,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01355.jpg,D:\Claude\datasets\ppe_masks\01355_mask.png,266,189,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01356.jpg,D:\Claude\datasets\ppe_masks\01356_mask.png,275,183,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01357.jpg,D:\Claude\datasets\ppe_masks\01357_mask.png,274,184,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01358.jpg,D:\Claude\datasets\ppe_masks\01358_mask.png,275,183,9
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01359.jpg,D:\Claude\datasets\ppe_masks\01359_mask.png,275,183,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01360.jpg,D:\Claude\datasets\ppe_masks\01360_mask.png,275,183,7
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01361.jpg,D:\Claude\datasets\ppe_masks\01361_mask.png,263,192,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01362.jpg,D:\Claude\datasets\ppe_masks\01362_mask.png,262,193,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01363.jpg,D:\Claude\datasets\ppe_masks\01363_mask.png,183,276,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01364.jpg,D:\Claude\datasets\ppe_masks\01364_mask.png,258,195,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01365.jpg,D:\Claude\datasets\ppe_masks\01365_mask.png,299,168,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01366.jpg,D:\Claude\datasets\ppe_masks\01366_mask.png,298,169,7
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01367.jpg,D:\Claude\datasets\ppe_masks\01367_mask.png,300,168,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01368.jpg,D:\Claude\datasets\ppe_masks\01368_mask.png,273,184,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01369.jpg,D:\Claude\datasets\ppe_masks\01369_mask.png,275,183,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01370.jpg,D:\Claude\datasets\ppe_masks\01370_mask.png,259,194,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01371.jpg,D:\Claude\datasets\ppe_masks\01371_mask.png,262,192,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01372.jpg,D:\Claude\datasets\ppe_masks\01372_mask.png,262,192,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01373.jpg,D:\Claude\datasets\ppe_masks\01373_mask.png,262,192,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01374.jpg,D:\Claude\datasets\ppe_masks\01374_mask.png,266,190,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01375.jpg,D:\Claude\datasets\ppe_masks\01375_mask.png,273,184,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01376.jpg,D:\Claude\datasets\ppe_masks\01376_mask.png,262,192,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01377.jpg,D:\Claude\datasets\ppe_masks\01377_mask.png,266,189,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01378.jpg,D:\Claude\datasets\ppe_masks\01378_mask.png,183,275,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01379.jpg,D:\Claude\datasets\ppe_masks\01379_mask.png,188,268,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01380.jpg,D:\Claude\datasets\ppe_masks\01380_mask.png,225,225,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01381.jpg,D:\Claude\datasets\ppe_masks\01381_mask.png,275,183,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01382.jpg,D:\Claude\datasets\ppe_masks\01382_mask.png,275,183,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01383.jpg,D:\Claude\datasets\ppe_masks\01383_mask.png,266,189,8
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01384.jpg,D:\Claude\datasets\ppe_masks\01384_mask.png,276,183,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01385.jpg,D:\Claude\datasets\ppe_masks\01385_mask.png,276,182,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01386.jpg,D:\Claude\datasets\ppe_masks\01386_mask.png,264,191,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01387.jpg,D:\Claude\datasets\ppe_masks\01387_mask.png,183,275,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01388.jpg,D:\Claude\datasets\ppe_masks\01388_mask.png,275,183,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01389.jpg,D:\Claude\datasets\ppe_masks\01389_mask.png,225,224,9
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01390.jpg,D:\Claude\datasets\ppe_masks\01390_mask.png,265,190,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01391.jpg,D:\Claude\datasets\ppe_masks\01391_mask.png,266,189,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01392.jpg,D:\Claude\datasets\ppe_masks\01392_mask.png,273,185,11
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01393.jpg,D:\Claude\datasets\ppe_masks\01393_mask.png,275,183,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01394.jpg,D:\Claude\datasets\ppe_masks\01394_mask.png,275,183,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01395.jpg,D:\Claude\datasets\ppe_masks\01395_mask.png,177,284,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01396.jpg,D:\Claude\datasets\ppe_masks\01396_mask.png,275,183,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01397.jpg,D:\Claude\datasets\ppe_masks\01397_mask.png,275,183,10
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01398.jpg,D:\Claude\datasets\ppe_masks\01398_mask.png,261,193,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01399.jpg,D:\Claude\datasets\ppe_masks\01399_mask.png,188,268,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01400.jpg,D:\Claude\datasets\ppe_masks\01400_mask.png,183,275,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01401.jpg,D:\Claude\datasets\ppe_masks\01401_mask.png,300,168,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01402.jpg,D:\Claude\datasets\ppe_masks\01402_mask.png,275,183,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01403.jpg,D:\Claude\datasets\ppe_masks\01403_mask.png,275,183,12
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01404.jpg,D:\Claude\datasets\ppe_masks\01404_mask.png,275,183,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01405.jpg,D:\Claude\datasets\ppe_masks\01405_mask.png,265,190,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01406.jpg,D:\Claude\datasets\ppe_masks\01406_mask.png,288,175,8
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01407.jpg,D:\Claude\datasets\ppe_masks\01407_mask.png,262,193,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01408.jpg,D:\Claude\datasets\ppe_masks\01408_mask.png,275,183,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01409.jpg,D:\Claude\datasets\ppe_masks\01409_mask.png,275,183,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01410.jpg,D:\Claude\datasets\ppe_masks\01410_mask.png,251,201,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01411.jpg,D:\Claude\datasets\ppe_masks\01411_mask.png,183,275,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01412.jpg,D:\Claude\datasets\ppe_masks\01412_mask.png,284,178,16
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01413.jpg,D:\Claude\datasets\ppe_masks\01413_mask.png,264,191,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01414.jpg,D:\Claude\datasets\ppe_masks\01414_mask.png,275,184,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01415.jpg,D:\Claude\datasets\ppe_masks\01415_mask.png,275,183,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01416.jpg,D:\Claude\datasets\ppe_masks\01416_mask.png,269,187,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01417.jpg,D:\Claude\datasets\ppe_masks\01417_mask.png,275,183,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01418.jpg,D:\Claude\datasets\ppe_masks\01418_mask.png,275,183,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01419.jpg,D:\Claude\datasets\ppe_masks\01419_mask.png,263,192,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01420.jpg,D:\Claude\datasets\ppe_masks\01420_mask.png,252,200,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01421.jpg,D:\Claude\datasets\ppe_masks\01421_mask.png,266,190,11
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01422.jpg,D:\Claude\datasets\ppe_masks\01422_mask.png,300,168,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01423.jpg,D:\Claude\datasets\ppe_masks\01423_mask.png,190,265,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01424.jpg,D:\Claude\datasets\ppe_masks\01424_mask.png,275,183,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01425.jpg,D:\Claude\datasets\ppe_masks\01425_mask.png,259,194,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01426.jpg,D:\Claude\datasets\ppe_masks\01426_mask.png,259,194,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01427.jpg,D:\Claude\datasets\ppe_masks\01427_mask.png,225,225,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01428.jpg,D:\Claude\datasets\ppe_masks\01428_mask.png,275,183,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01429.jpg,D:\Claude\datasets\ppe_masks\01429_mask.png,275,183,11
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01430.jpg,D:\Claude\datasets\ppe_masks\01430_mask.png,302,167,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01431.jpg,D:\Claude\datasets\ppe_masks\01431_mask.png,262,192,7
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01432.jpg,D:\Claude\datasets\ppe_masks\01432_mask.png,259,194,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01433.jpg,D:\Claude\datasets\ppe_masks\01433_mask.png,225,225,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01434.jpg,D:\Claude\datasets\ppe_masks\01434_mask.png,233,216,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01435.jpg,D:\Claude\datasets\ppe_masks\01435_mask.png,276,183,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01436.jpg,D:\Claude\datasets\ppe_masks\01436_mask.png,300,168,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01437.jpg,D:\Claude\datasets\ppe_masks\01437_mask.png,299,168,22
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01438.jpg,D:\Claude\datasets\ppe_masks\01438_mask.png,201,250,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01439.jpg,D:\Claude\datasets\ppe_masks\01439_mask.png,273,185,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01440.jpg,D:\Claude\datasets\ppe_masks\01440_mask.png,274,184,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01441.jpg,D:\Claude\datasets\ppe_masks\01441_mask.png,276,182,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01442.jpg,D:\Claude\datasets\ppe_masks\01442_mask.png,183,275,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01443.jpg,D:\Claude\datasets\ppe_masks\01443_mask.png,275,183,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01444.jpg,D:\Claude\datasets\ppe_masks\01444_mask.png,226,223,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01445.jpg,D:\Claude\datasets\ppe_masks\01445_mask.png,275,183,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01446.jpg,D:\Claude\datasets\ppe_masks\01446_mask.png,192,262,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01447.jpg,D:\Claude\datasets\ppe_masks\01447_mask.png,275,183,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01448.jpg,D:\Claude\datasets\ppe_masks\01448_mask.png,290,174,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01449.jpg,D:\Claude\datasets\ppe_masks\01449_mask.png,275,183,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01450.jpg,D:\Claude\datasets\ppe_masks\01450_mask.png,135,180,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01451.jpg,D:\Claude\datasets\ppe_masks\01451_mask.png,259,194,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01452.jpg,D:\Claude\datasets\ppe_masks\01452_mask.png,275,183,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01453.jpg,D:\Claude\datasets\ppe_masks\01453_mask.png,275,183,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01454.jpg,D:\Claude\datasets\ppe_masks\01454_mask.png,275,183,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01455.jpg,D:\Claude\datasets\ppe_masks\01455_mask.png,275,183,10
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01456.jpg,D:\Claude\datasets\ppe_masks\01456_mask.png,275,184,10
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01457.jpg,D:\Claude\datasets\ppe_masks\01457_mask.png,290,174,9
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01458.jpg,D:\Claude\datasets\ppe_masks\01458_mask.png,229,220,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01459.jpg,D:\Claude\datasets\ppe_masks\01459_mask.png,251,201,15
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01460.jpg,D:\Claude\datasets\ppe_masks\01460_mask.png,245,206,12
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01461.jpg,D:\Claude\datasets\ppe_masks\01461_mask.png,299,168,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01462.jpg,D:\Claude\datasets\ppe_masks\01462_mask.png,275,184,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01463.jpg,D:\Claude\datasets\ppe_masks\01463_mask.png,259,194,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01464.jpg,D:\Claude\datasets\ppe_masks\01464_mask.png,290,174,12
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01465.jpg,D:\Claude\datasets\ppe_masks\01465_mask.png,290,174,10
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01466.jpg,D:\Claude\datasets\ppe_masks\01466_mask.png,203,248,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01467.jpg,D:\Claude\datasets\ppe_masks\01467_mask.png,281,179,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\01468.jpg,D:\Claude\datasets\ppe_masks\01468_mask.png,299,168,4
